0 NaN NaN
0.1 1.01104027 0.0229448227479992
0.2 1.03775191 0.0216572241019457
0.3 1.07054 0.0232923014320183
0.4 1.1081092 0.02118482889617
0.5 1.1539661 0.0218225479215879
0.55 1.1765081 0.021187405395423
0.6 1.2162497 0.0201778938174925
0.65 1.2500178 0.0211208476903745
0.7 1.2726924 0.0181519603415168
0.75 1.3361738 0.0234118199540318
0.8 1.3832546 0.0243919805846102
0.825 1.4198661 0.0203117122318627
0.85 1.473389 0.0214081118504178
0.875 1.5345369 0.0258307762444337
0.9 1.5977812 0.022543654906869
0.925 1.7229602 0.0147940107462446
0.935 1.8219594 0.058611832846619
0.95 2.0566383 0.0670610658736498
1 2.50883 0.118668109456585
